Variable_ID,Description
hh2sex,2.HAUSH.PERSON: GESCHLECHT
hh2yborn,2.HAUSH.PERSON: GEBURTSJAHR
hh2mborn,2.HAUSH.PERSON: GEBURTSMONAT
hh2age,2.HAUSH.PERSON: ALTER
hh2mstat,2.HAUSH.PERSON: FAMILIENSTAND
hh2educ,2.HAUSH.PERSON:(KIND)ALLG.SCHULABSCHLUSS
hh2de15,2.HAUSH.PERSON:(KIND) HOCHSCHULABSCHLUSS
hh2inca,2.HAUSH.PERSON: EIGENES EINKOMMEN?
hh2inc,2.HAUSH.PERSON: NETTOEINKOMMEN(EURO)
hh2rr04,2.HAUSHALTSPERSON: GETAUFT?
hh2rd01,2.HAUSHALTSPERSON: KONFESSION
hh3kin,3.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh3sex,3.HAUSH.PERSON: GESCHLECHT
hh3yborn,3.HAUSH.PERSON: GEBURTSJAHR
hh3mborn,3.HAUSH.PERSON: GEBURTSMONAT
hh3age,3.HAUSH.PERSON: ALTER
hh3mstat,3.HAUSH.PERSON: FAMILIENSTAND
hh3educ,3.HAUSH.PERSON:(KIND)ALLG.SCHULABSCHLUSS
hh3de15,3.HAUSH.PERSON:(KIND) HOCHSCHULABSCHLUSS
hh3inca,3.HAUSH.PERSON: EIGENES EINKOMMEN?
hh3inc,3.HAUSH.PERSON: NETTOEINKOMMEN(EURO)
hh3rr04,3.HAUSHALTSPERSON: GETAUFT?
hh3rd01,3.HAUSHALTSPERSON: KONFESSION
hh4kin,4.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh4sex,4.HAUSH.PERSON: GESCHLECHT
hh4yborn,4.HAUSH.PERSON: GEBURTSJAHR
hh4mborn,4.HAUSH.PERSON: GEBURTSMONAT
hh4age,4.HAUSH.PERSON: ALTER
hh4mstat,4.HAUSH.PERSON: FAMILIENSTAND
hh4educ,4.HAUSH.PERSON:(KIND)ALLG.SCHULABSCHLUSS
hh4de15,4.HAUSH.PERSON:(KIND) HOCHSCHULABSCHLUSS
hh4inca,4.HAUSH.PERSON: EIGENES EINKOMMEN?
hh4inc,4.HAUSH.PERSON: NETTOEINKOMMEN(EURO)
hh4rr04,4.HAUSHALTSPERSON: GETAUFT?
hh4rd01,4.HAUSHALTSPERSON: KONFESSION
hh5kin,5.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh5sex,5.HAUSH.PERSON: GESCHLECHT
hh5yborn,5.HAUSH.PERSON: GEBURTSJAHR
hh5mborn,5.HAUSH.PERSON: GEBURTSMONAT
hh5age,5.HAUSH.PERSON: ALTER
hh5mstat,5.HAUSH.PERSON: FAMILIENSTAND
hh5educ,5.HAUSH.PERSON:(KIND)ALLG.SCHULABSCHLUSS
hh5de15,5.HAUSH.PERSON:(KIND) HOCHSCHULABSCHLUSS
hh5inca,5.HAUSH.PERSON: EIGENES EINKOMMEN?
hh5inc,5.HAUSH.PERSON: NETTOEINKOMMEN(EURO)
hh5rr04,5.HAUSHALTSPERSON: GETAUFT?
hh5rd01,5.HAUSHALTSPERSON: KONFESSION
hh6kin,6.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh6sex,6.HAUSH.PERSON: GESCHLECHT
hh6yborn,6.HAUSH.PERSON: GEBURTSJAHR
hh6mborn,6.HAUSH.PERSON: GEBURTSMONAT
hh6age,6.HAUSH.PERSON: ALTER
hh6mstat,6.HAUSH.PERSON: FAMILIENSTAND
hh6educ,6.HAUSH.PERSON:(KIND)ALLG.SCHULABSCHLUSS
hh6de15,6.HAUSH.PERSON:(KIND) HOCHSCHULABSCHLUSS
hh6inca,6.HAUSH.PERSON: EIGENES EINKOMMEN?
hh6inc,6.HAUSH.PERSON: NETTOEINKOMMEN(EURO)
hh6rr04,6.HAUSHALTSPERSON: GETAUFT?
hh6rd01,6.HAUSHALTSPERSON: KONFESSION
hh7kin,7.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh7sex,7.HAUSH.PERSON: GESCHLECHT
hh7yborn,7.HAUSH.PERSON: GEBURTSJAHR
hh7mborn,7.HAUSH.PERSON: GEBURTSMONAT
hh7age,7.HAUSH.PERSON: ALTER
hh7mstat,7.HAUSH.PERSON: FAMILIENSTAND
hh7educ,7.HAUSH.PERSON:(KIND)ALLG.SCHULABSCHLUSS
hh7de15,7.HAUSH.PERSON:(KIND) HOCHSCHULABSCHLUSS
hh7inca,7.HAUSH.PERSON: EIGENES EINKOMMEN?
hh7inc,7.HAUSH.PERSON: NETTOEINKOMMEN(EURO)
hh7rr04,7.HAUSHALTSPERSON: GETAUFT?
hh7rd01,7.HAUSHALTSPERSON: KONFESSION
hh8kin,8.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh8sex,8.HAUSH.PERSON: GESCHLECHT
hh8yborn,8.HAUSH.PERSON: GEBURTSJAHR
hh8mborn,8.HAUSH.PERSON: GEBURTSMONAT
hh8age,8.HAUSH.PERSON: ALTER
hh8mstat,8.HAUSH.PERSON: FAMILIENSTAND
hh8educ,8.HAUSH.PERSON:(KIND)ALLG.SCHULABSCHLUSS
hh8de15,8.HAUSH.PERSON:(KIND) HOCHSCHULABSCHLUSS
hh8inca,8.HAUSH.PERSON: EIGENES EINKOMMEN?
hh8inc,8.HAUSH.PERSON: NETTOEINKOMMEN(EURO)
hh8rr04,8.HAUSHALTSPERSON: GETAUFT?
hh8rd01,8.HAUSHALTSPERSON: KONFESSION
dh10,ALLE HAUSHALTSPERSONEN DEUTSCH?
hh2germn,2.HAUSH.PERSON DEUTSCH?
hh3germn,3.HAUSH.PERSON DEUTSCH?
hh4germn,4.HAUSH.PERSON DEUTSCH?
hh5germn,5.HAUSH.PERSON DEUTSCH?
hh6germn,6.HAUSH.PERSON DEUTSCH?
hh7germn,7.HAUSH.PERSON DEUTSCH?
hh8germn,8.HAUSH.PERSON DEUTSCH?
dh12,LEBENSFORM BEFRAGTE - KURZ
dh13,LEBENSFORM BEFRAGTE - FAMILIE
dh14,LEBENSFORM NACH MIKROZENSUS-TYPOLOGIE
dh15,MEHRGENERATIONEN-HAUSHALT
dh16,"EIG. KINDER IM HAUSHALT: LEDIG, N.LEDIG"
dh17,ALTER JUENGSTES HAUSHALTSMITGLIED
dk11,ANZAHL KINDER IM HAUSHALT
dk07,"ANZAHL DER KINDER, BEFR."
dk01,ANZAHL DER LEIBLICHEN KINDER
dk02,"ANZAHL DER LEIBLICHEN KINDER, <18"
dk03,"ANZAHL LEIBL., STIEF. + ADOP. KINDER"
dk04,"ANZ. LEIBL., STIEF. + ADOP. KINDER, <18"
dk05,KINDER AUSSER HAUS?
dk06,ANZAHL KINDER AUSSER HAUS
kh1sex,"GESCHLECHT, 1.KIND, AUSSER HAUS"
kh1yborn,"GEBURTSJAHR, 1.KIND, AUSSER HAUS"
kh1age,"ALTER, 1.KIND, AUSSER HAUS"
kh1educ,1.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
kh1de15,1.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
kh1rr04,"GETAUFT, 1.KIND, AUSSER HAUS"
kh1rd01,"KONFESSION, 1.KIND, AUSSER HAUS"
kh2sex,"GESCHLECHT, 2.KIND, AUSSER HAUS"
kh2yborn,"GEBURTSJAHR, 2.KIND, AUSSER HAUS"
kh2age,"ALTER, 2.KIND, AUSSER HAUS"
kh2educ,2.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
kh2de15,2.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
kh2rr04,"GETAUFT, 2.KIND, AUSSER HAUS"
kh2rd01,"KONFESSION, 2.KIND, AUSSER HAUS"
kh3sex,"GESCHLECHT, 3.KIND, AUSSER HAUS"
kh3yborn,"GEBURTSJAHR, 3.KIND, AUSSER HAUS"
kh3age,"ALTER, 3.KIND, AUSSER HAUS"
kh3educ,3.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
kh3de15,3.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
kh3rr04,"GETAUFT, 3.KIND, AUSSER HAUS"
kh3rd01,"KONFESSION, 3.KIND, AUSSER HAUS"
kh4sex,"GESCHLECHT, 4.KIND, AUSSER HAUS"
kh4yborn,"GEBURTSJAHR, 4.KIND, AUSSER HAUS"
kh4age,"ALTER, 4.KIND, AUSSER HAUS"
kh4educ,4.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
kh4de15,4.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
kh4rr04,"GETAUFT, 4.KIND, AUSSER HAUS"
kh4rd01,"KONFESSION, 4.KIND, AUSSER HAUS"
kh5sex,"GESCHLECHT, 5.KIND, AUSSER HAUS"
kh5yborn,"GEBURTSJAHR, 5.KIND, AUSSER HAUS"
kh5age,"ALTER, 5.KIND, AUSSER HAUS"
kh5educ,5.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
kh5de15,5.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
kh5rr04,"GETAUFT, 5.KIND, AUSSER HAUS"
kh5rd01,"KONFESSION, 5.KIND, AUSSER HAUS"
kh6sex,"GESCHLECHT, 6.KIND, AUSSER HAUS"
kh6yborn,"GEBURTSJAHR, 6.KIND, AUSSER HAUS"
kh6age,"ALTER, 6.KIND, AUSSER HAUS"
kh6educ,6.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
kh6de15,6.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
kh6rr04,"GETAUFT, 6.KIND, AUSSER HAUS"
kh6rd01,"KONFESSION, 6.KIND, AUSSER HAUS"
kh7sex,"GESCHLECHT, 7.KIND, AUSSER HAUS"
kh7yborn,"GEBURTSJAHR, 7.KIND, AUSSER HAUS"
kh7age,"ALTER, 7.KIND, AUSSER HAUS"
kh7educ,7.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
kh7de15,7.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
kh7rr04,"GETAUFT, 7.KIND, AUSSER HAUS"
kh7rd01,"KONFESSION, 7.KIND, AUSSER HAUS"
kh8sex,"GESCHLECHT, 8.KIND, AUSSER HAUS"
kh8yborn,"GEBURTSJAHR, 8.KIND, AUSSER HAUS"
kh8age,"ALTER, 8.KIND, AUSSER HAUS"
kh8educ,8.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
kh8de15,8.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
kh8rr04,"GETAUFT, 8.KIND, AUSSER HAUS"
kh8rd01,"KONFESSION, 8.KIND, AUSSER HAUS"
kh9sex,"GESCHLECHT, 9.KIND, AUSSER HAUS"
kh9yborn,"GEBURTSJAHR, 9.KIND, AUSSER HAUS"
kh9age,"ALTER, 9.KIND, AUSSER HAUS"
kh9educ,9.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
kh9de15,9.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
kh9rr04,"GETAUFT, 9.KIND, AUSSER HAUS"
kh9rd01,"KONFESSION, 9.KIND, AUSSER HAUS"
kh10sex,"GESCHLECHT, 10.KIND, AUSSER HAUS"
kh10ybrn,"GEBURTSJAHR, 10.KIND, AUSSER HAUS"
kh10age,"ALTER, 10.KIND, AUSSER HAUS"
kh10educ,10.KIND AUSSER HAUS: ALLG.SCHULABSCHLUSS
kh10de15,10.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
dk10,VERSTORBENE KINDER?
dk08,KINDERLOS: WUNSCH NACH KINDERN?
dk08a,MIT KIND: WUNSCH NACH WEITEREN KINDERN?
dk09,KINDERLOS: WIEVIELE KINDER GEWUENSCHT?
dk09a,MIT KIND: WIEVIELE KINDER GEWUENSCHT?
dn05,BEFR.: VON GEBURT AN DEUTSCH?
dn06,BEFR. URSPRUENGL. STAATSBUERGERSCHAFT
dn07,GEBURT IM HEUTIGEN DEUTSCHLAND?
dg01,BEFRAGTER: IN WELCHEM BUNDESLAND GEBOREN
dg10,"BUNDESLAND, WO BEFRAGTER IN JUGEND LEBTE"
dg02,INTERVIEW: IN WELCHEM BUNDESLAND
dg03,"JUGEND IN OST-WEST,INTERVIEW IN OST-WEST"
dg04,"GEBURT IN OST-WEST,INTERVIEW IN OST-WEST"
dg05,"WANN NACH WESTD. UEBERGESIEDELT, JAHR"
dg06,"WANN NACH OSTD. UEBERGESIEDELT, JAHR"
dg07,"SEIT WANN IM GEGENW. BUNDESLAND, JAHR"
dg08,UEBERSIEDL.I.NEUE BUNDESLAENDER DENKBAR?
dg09,UEBERSIEDL.I.ALTE BUNDESLAENDER DENKBAR?
dg11,UEBERSIEDLUNG I.ANDERES EU-LAND DENKBAR?
dm01,BEFR.: HERKUNFTSLAND
fdm01,HERKUNFTSLAND: VATER
gfpdm01,"HERKUNFTSLAND: GROSSVATER, VATERSEITS"
gmpdm01,"HERKUNFTSLAND: GROSSMUTTER, VATERSEITS"
mdm01,HERKUNFTSLAND: MUTTER
gfmdm01,"HERKUNFTSLAND: GROSSVATER, MUTTERSEITS"
gmmdm01,"HERKUNFTSLAND: GROSSMUTTER, MUTTERSEITS"
dm02,"IMMIGRANT: SEIT WANN IN DEUTSCHLAND,JAHR"
dm03,IMMIGRANT: WIEVIEL JAHRE IN DEUTSCHLAND?
dm04,"IMMIGRANT: SEIT WANN IM BUNDESLAND, JAHR"
dm05,BEFR.: SEIT WANN IN DER BUNDESREPUBLIK?
dm05a,WIEVIEL JAHRE IN DER BUNDESREPUBLIK?
dm07,WO VORHER GELEBT?
dm06,"LAND, WO BEFRAGTER IN DER JUGEND LEBTE"
dg13,DISTANZ ZUM LETZTEN WOHNORT
gd01,BEFR.: SEIT WANN IM ORT WOHNEND?
gd02,WOHNDAUER IN JAHREN
gs01,SELBSTBESCHREIBUNG DES WOHNORTS
aq01,BEFR.: TYP DER WOHNUNG
aq02,WOHNFLAECHE IN QUADRATMETERN
aq03,HUND ODER KATZE IM HAUSHALT?
aq04,HABEN SIE HIER IM HAUSHALT TELEFON?
de25,"BESITZ VON PKW-FUEHRERSCHEIN, BEFR."
ae01,WOHNUMGEBUNG: LAERMBELASTUNG TAGSUEBER
ae02,WOHNUMGEBUNG: LAERMBELASTUNG NACHTS
ae03,"WOHNUMG.: INDUSTRIE-, AUTOABGASBELASTUNG"
samptype,STICHPROBENTYP
mode,ERHEBUNGSMODUS DER ALLBUS-HAUPTBEFRAGUNG
substudy,TEILSTUDIE: KONTAKSTRATEGIE
xs08,"ZAHL DER KONTAKTVERSUCHE, TEL."
xs09,"ZAHL DER KONTAKTVERSUCHE, BESUCHE"
xs13,"ZAHL DER KONTAKTVERSUCHE, ANDERE"
xs16,"ZAHL DER KONTAKTVERSUCHE, ANSCHREIBEN"
xr16,INTERVIEW: BEREITSCHAFT DES BEFRAGTEN
xr01,AN WIEVIELEN BEFRAGUNGEN TEILGENOMMEN?
xr02,LETZTE 12 MONATE: ANDERE UMFRAGEN?
xr03,LETZTE 12 MONATE: ANZAHL UMFRAGEN
xr06,INTERVIEW: ERREICHBARKEIT DES BEFRAGTEN
xr07,ANWESENHEIT DES BEFRAGTEN AM MONTAG
xr08,ANWESENHEIT DES BEFRAGTEN AM DIENSTAG
xr09,ANWESENHEIT DES BEFRAGTEN AM MITTWOCH
xr10,ANWESENHEIT DES BEFRAGTEN AM DONNERSTAG
xr11,ANWESENHEIT DES BEFRAGTEN AM FREITAG
xr12,ANWESENHEIT DES BEFRAGTEN AM SAMSTAG
xr13,ANWESENHEIT DES BEFRAGTEN AM SONNTAG
xt01,INTERVIEWBEGINN: TAG
xt02,INTERVIEWBEGINN: MONAT
xt03,INTERVIEWBEGINN: DATUM
xt04,INTERVIEWBEGINN: STUNDE
xt05,INTERVIEWBEGINN: MINUTE
xt06,INTERVIEWBEGINN: UHRZEIT
xt12,INTERVIEWENDE: TAG
xt13,INTERVIEWENDE: MONAT
xt14,INTERVIEWENDE: DATUM
xt07,INTERVIEWENDE: STUNDE
xt08,INTERVIEWENDE: MINUTE
xt09,INTERVIEWENDE: UHRZEIT
xt10,BEARBEITUNGSDAUER IN MINUTEN
xs01,INTERVIEW: ALLEINE DURCHGEFUEHRT
xs02,INTERVIEW: (EHE)PARTNER ANWESEND
xs03,INTERVIEW: KINDER ANWESEND
xs04,INTERVIEW: ANDERE FAMILIENMITGL.ANWESEND
xs05,INTERVIEW: SONSTIGE PERSONEN ANWESEND
xs06,WIE HAEUFIG ANTWORTEN BESPROCHEN?
xs07,BEFR.: HAT AM BILDSCHIRM MITVERFOLGT
xs14,FRAGEBOGEN OHNE UNTERBRECHUNGEN?
xs15,INTERVIEW: ANTEIL BEANTWORTETER FRAGEN
xr17,ANTWORTBEREITSCHAFT DES BEFRAGTEN
xr18,ZUVERLAESSIGKEIT DER ANGABEN DES BEFR.
xr19,NUTZEN SIE PRIVAT DAS INTERNET?
xr20,HAEUFIGKEIT INTERNETNUTZUNG PRIVAT
xr20a,WIE HAEUFIG NUTZEN SIE DAS INTERNET?
xr21,TEILNAHMEBEREITSCHAFT WEITERE UMFRAGEN
xr22,BEFR.AKZEPTIERT UNVERBINDLICHE EINLADUNG
xr23,BEFRAGTER AKZEPTIERT DATENVERKNUEPFUNG
xr24,ONLINER: FRAGEBOGEN ONLINE AUSFUELLEN?
xr05,BEFR.: WIEDERBEFRAGUNGSBEREIT?
xh01,"ART DES WOHNGEBAEUDES, BEFRAGTER"
xh02,"ZUSTAND DES WOHNGEBAEUDES, BEFRAGTER"
xh03,GEGENSPRECHANLAGE?
xh04,EINSCHAETZUNG WOHNUMGEBUNG VOM BEFR.
xr14,"ATTRAKTIVITAET DES BEFR., INTERVIEWSTART"
xr27,"INT.: SCHICHTEINSTUFUNG HAUSHALT, START"
xi01,INTERVIEWER(IN): ID
xi02,INTERVIEWER(IN): GESCHLECHT
xi03,INTERVIEWER(IN): ALTER
xi04,INTERVIEWER(IN): BILDUNG
xi05,INT.: WIEVIEL JAHRE FUER UMFRAGEINSTITUT
splt80,FRAGEBOGENSPLIT 1980: STIMULUSEXPERIMENT
splt82,FRAGEBOGENSPLIT 1982: STIMULUSEXPERIMENT
splt88,FRAGEBOGENSPLIT 1988: REIHENFOLGE
splt90,FRAGEBOGENSPLIT 1990: FRABO-ERWEITERUNG
splt94,FRAGEBOGENSPLIT 1994: GASTARBEITER
splt00,FRAGEBOGENSPLIT 2000: FRABO-ERWEITERUNG
splt06,FRAGEBOGENSPLIT 2006: CAPI-CASI
splt10_1,FRAGEBOGENSPLIT 2010: EGOZENTR.NETZWERKE
splt10_2,FRAGEBOGENSPLIT 2010: ROTATION JA01 FF.
splt12_1,FRAGEBOGENSPLIT 2012: ABTREIBUNG
splt12_2,FRAGEBOGENSPLIT 2012: ROLLE DER FRAU
splt12_3,FRAGEBOGENSPLIT 2012: KIRCHGANG
splt14_1,FRAGEBOGENSPLIT 2014: BERUFSERFOLG
splt14_2,FRAGEBOGENSPLIT 2014: FRABO-ERWEITERUNG
splt14_3,FRAGEBOGENSPLIT 2014: GESUNDHEITSZUSTAND
splt16_1,FRAGEBOGENSPLIT 2016: FR01-FR12
splt16_2,FRAGEBOGENSPLIT 2016: MI01-MI04
splt16_3,FRAGEBOGENSPLIT 2016: MA01-MA04
splt16_4,FRAGEBOGENSPLIT 2016: MN01-MN09
splt16_5,FRAGEBOGENSPLIT 2016: MP15A
splt16_6,"FRAGEBOGENSPLIT 2016: MG13-17, MG19-23"
splt16_7,FRAGEBOGENSPLIT 2016: ONLINEREKRUTIERUNG
splt21,FRAGEBOGENSPLIT 2021: FRABO-ERWEITERUNG
splt23_1,FRAGEBOGENSPLIT 2023: FRABO-ERWEITERUNG
splt23_2,"FRAGEBOGENSPLIT 2023: CAPI, WERTE"
splt23_3,FRAGEBOGENSPLIT 2023: EXPERIMENT XR21
eastwest,ERHEBUNGSGEBIET (WOHNGEBIET): WEST - OST
land,"BUNDESLAND, IN DEM BEFRAGTE(R) WOHNT"
gkpol,GROESSENKLASSE DER POLIT. GEMEINDE
bstdt7,BOUSTEDT-GEMEINDETYP D.WOHNORTS(7 KAT.)
bstdt10,BOUSTEDT-GEMEINDETYP D.WOHNORTS(10 KAT.)
gs05,GEMEINDETYP (BIK-STADTREGIONEN)
bik,BIK-REGIONEN
gr01,"AUSLAENDERANTEIL AUF KREISEBENE, KATEG."
xs11a,LAUFENDE NUMMER DES SAMPLE-POINT
wghtpt,TRANSFORMATIONSGEWICHT PERSON
wghtpew,PERSONENBEZOGENES OST-WEST-GEWICHT
wghtptew,OST-WEST TRANSFORMATIONSGEWICHT PERSON
wghtht,TRANSFORMATIONSGEWICHT HAUSHALT
wghthew,HAUSHALTSBEZOGENES OST-WEST-GEWICHT
wghthtew,OST-WEST TRANSFORMATIONSGEWICHT HAUSHALT
